user_name,user_id,nickname,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
magiclinks,6719504280841520134,MagicLinks,6935224337456762118,Glad I know this now! #magiclinks #monetize #getpaid #socialmedia #influencer,1614732761,37,https://www.tiktok.com/@magiclinks/video/6935224337456762118?lang=en,15,18,1,247
magiclinks,6719504280841520134,MagicLinks,6890340749452332294,The holiday season is here! #magiclinks #holidays #holidayseason #creators #influencers #monetize #money,1604282503,14,https://www.tiktok.com/@magiclinks/video/6890340749452332294?lang=en,15,0,3,102
magiclinks,6719504280841520134,MagicLinks,6943319474615356678,I hope these tips helped! #magiclinks #tiktoktips #howtomakemoney #monetize #magiclinkspartner,1616617545,30,https://www.tiktok.com/@magiclinks/video/6943319474615356678?lang=en,15,0,0,232
magiclinks,6719504280841520134,MagicLinks,6961099257327717638,we’re sharing ways to simplify your content planning👇🏽 #contentplanning #magiclinks #stayorganized #influencertips #contentcreatortips,1620757224,20,https://www.tiktok.com/@magiclinks/video/6961099257327717638?lang=en,14,1,0,181
magiclinks,6719504280841520134,MagicLinks,6960692246899444998,Welcome to the #MagicLinks HQ! What’s your favorite part of the space?? Let us know! #officetour #workspace #startup #worklife #companyculture,1620662460,58,https://www.tiktok.com/@magiclinks/video/6960692246899444998?lang=en,14,6,3,231
shamywoldu,6674453186618065926,shamy.woldu,6850854415851736326,How to #fy #ootd #magiclinks #ad #howto #learnontik #viral,1595088846,7,https://www.tiktok.com/@shamywoldu/video/6850854415851736326?lang=en,13,0,1,1130
magiclinks,6719504280841520134,MagicLinks,6914332934359059717,They got me #itstheforme #forme #monetize #magiclinks #earnmoney,1609868603,11,https://www.tiktok.com/@magiclinks/video/6914332934359059717?lang=en,13,0,0,362
magiclinks,6719504280841520134,MagicLinks,6939959483556842757,Tips on how to get into MagicLinks ✨💰 #tiktoktips #magiclinks #monetizetiktok #tiktokfeature #monetize #makemoney #howtomakemoney,1615835237,31,https://www.tiktok.com/@magiclinks/video/6939959483556842757?lang=en,13,3,0,183
magiclinks,6719504280841520134,MagicLinks,6896619549874081030,"Listen up, influencers! #MagicLinks #holiday #holidays #monetize #creator #influencer #makemoney #commission",1605744404,37,https://www.tiktok.com/@magiclinks/video/6896619549874081030?lang=en,13,0,0,143
magiclinks,6719504280841520134,MagicLinks,6935538164056591621,"If MagicLinks reflects your values, you can learn more and apply by clicking the link in our bio! #magiclinks #monetize #brandvalue #tiktoktips",1614805827,22,https://www.tiktok.com/@magiclinks/video/6935538164056591621?lang=en,12,17,0,226
magiclinks,6719504280841520134,MagicLinks,6949681962344795397,Top #MagicLinks creators KILLING IT on Instagram this month ✨🪄😻 #sheearnedit #stopasianhate #herstory #girlboss #thankstoher,1618098928,10,https://www.tiktok.com/@magiclinks/video/6949681962344795397?lang=en,12,1,1,209
magiclinks,6719504280841520134,MagicLinks,6942943672459709701,Apply with the link in our bio! #magiclinks #monetizetiktok #makemoney #tiktoktips #brands,1616530047,10,https://www.tiktok.com/@magiclinks/video/6942943672459709701?lang=en,12,0,2,207
magiclinks,6719504280841520134,MagicLinks,6965939581598420230,@naomiboyer spills secrets for making top dollar as a content creator 💸 #magiclinks #influencerhack #creatortips #influencermarketing,1621884199,28,https://www.tiktok.com/@magiclinks/video/6965939581598420230?lang=en,12,1,0,231
magiclinks,6719504280841520134,MagicLinks,6968610833496575238,Are you even an influencer if you're not using MagicLinks?? #magiclinks #socialmedia #influencers #HoldMyMilk #foryou,1622506150,9,https://www.tiktok.com/@magiclinks/video/6968610833496575238?lang=en,12,1,1,341
