video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6889708351698029830,What I Wore in Hawaii #ootd #grwm #pregnant #babymoon #hawaii,1604135514,17,6755939935561778181,naomiboyer,Naomi Boyer,6847647314127932166,What You Know Bout Love,Pop Smoke,56600,290,119,569800
6889199696921775365,Get ready with me. What I wore to the beach in Hawaii @revolve  #ootd  #pregnant #hawaii #babymoon #grwm,1604016830,11,6755939935561778181,naomiboyer,Naomi Boyer,5000000001449911564,Piece Of Your Heart,Meduza & Goodboys,15900,88,69,305900
6888863734987607301,Hawaii Mini Vlog Day 1 #babymoon #hawaii #travel #minivlog #vlog,1603938616,26,6755939935561778181,naomiboyer,Naomi Boyer,6855783142066751490,Happy Pill,Common Kings,3767,19,15,109700
6888738916233514246,B A B Y M O O N in Hawaii #hawaii #babymoon  #travel2020 #travel,1603909541,20,6755939935561778181,naomiboyer,Naomi Boyer,6817701001806481409,Guava Lane,Iration,7284,171,70,140500
6887590861283085573,Link in profile to shop! #maternity  #momstyle  #pregnant #babybump #falldresses #fallfashion,1603642258,16,6755939935561778181,naomiboyer,Naomi Boyer,6887590941025176326,original sound,Naomi Boyer,43100,775,136,556400
6886930758963842310,Must-Have Coats #fashion #style #tiktokfashion #coat #fallfashion #outfitideas,1603488564,16,6755939935561778181,naomiboyer,Naomi Boyer,6814649535105632257,No Face No Case,Vinny West,32800,1322,223,484400
6886604580369566982,3 Ways To Wear Combat Boots (link in profile to shop) #combatboots #boots #fallfashion #howto #outfitideas #outfitinspo,1603412617,28,6755939935561778181,naomiboyer,Naomi Boyer,6886604641090865925,original sound,Naomi Boyer,21400,554,130,348000
6886125471944199430,Monochrome Neutral Outfits #monochrome #casual #tiktokfashion #fallfashion #outfitideas #neutral,1603301075,28,6755939935561778181,naomiboyer,Naomi Boyer,6886125517326650117,original sound,Naomi Boyer,38000,451,248,474300
6884321400971087109,Mini Hair Transformation (Golden Beige Blonde) by @coloredbyadriana on IG #haircolor #balayage #hairtransformation #blonde,1602881019,16,6755939935561778181,naomiboyer,Naomi Boyer,6691366574592396038,Woah (feat. D3Mstreet),KRYPTO9095,12900,916,51,292100
6883652587460005126,3 Easy Ways To Style A Shacket #shacket #howto #outfitideas #fashion #fallfashion,1602725296,25,6755939935561778181,naomiboyer,Naomi Boyer,6883652604849703686,original sound,Naomi Boyer,32700,634,124,503800
6882851599941651717,How To Style: The Sweater Vest #fashion #style #tiktokfashion #ootd #outfitideas #fallfashion #sweatervest #vest,1602538803,15,6755939935561778181,naomiboyer,Naomi Boyer,6882851672272571141,original sound,Naomi Boyer,20400,748,94,338500
6881385349227056390,Life Changing Style Secret #4 #howto #fashionhacks #lifehack #lifechanger #fashion #styletips #style #tiktokfashion,1602197413,18,6755939935561778181,naomiboyer,Naomi Boyer,6881385392000551686,original sound,Naomi Boyer,10200,88,39,209500
6881016172771282182,LINK IN BIO TO SHOP! @express #fallfashion #fallstyle #outfitideas #fashion #style #tiktokfashion,1602111457,32,6755939935561778181,naomiboyer,Naomi Boyer,6494138483597937421,Run Free (feat. IVIE),Deep Chills,4735,55,44,142800
