video_id,description,creation_time,duration,author_id,username,nickname,music_id,song_title,music_author_name,diggs,shares,comments,plays
6.88E+18,#duet with @thecalebmills “I JUST PUKED” 😂 this video is comedy gold I swear to god #fyp #foryou #comedy #puke #funny #xyzbca,1600929835,29,6.72E+18,mrhamilton,Casey Hamilton,6.87E+18,stream white knuckles by ula,Givemetheaux,30100,68,161,217100
6.88E+18,this was not what I expected but I am here for it #fyp #foryou #foryoupage #xyzbca #wap,1600921633,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,wap like to party,✨,193200,4832,2028,918600
6.88E+18,Reply to @brifd03,1600920428,10,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,14000,40,174,126000
6.88E+18,Reply to @fruitsnacky please turn this audio into something better than what I have used it for 😂 #fyp #foryou #jfk #impression #comedy #dumb,1600905993,9,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,11600,37,199,112900
6.88E+18,Reply to @lilly_lynn how did I do? 🥺 #fyp #foryou #positivity #loveyaDawn #dawn #xyzbca #mentalhealthmatters,1600905904,33,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,6787,56,150,76100
6.88E+18,Reply to @dawson.joyner Welcome to Wunky Isle 🥰 #animalcrossing #switch #nintendo #fyp #foryou #foryoupage #xyzbca #PetThings #nintendoswitch,1600903747,51,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,50200,213,724,272800
6.88E+18,big thank you to @lowcontrast for reminding me to DRINK WATER #kitchenmail #fanmail #thankyou #fyp #foryou #foryoypage #xyzbca,1600896122,59,6.72E+18,mrhamilton,Casey Hamilton,6.82E+18,animal crossing ~ new horizons lofi,Closed on Sunday,25400,23,194,148800
6.88E+18,Thank you to all the Jessicas out there who sent us some much-needed Kitchen Mail! #thankyou #mail #fyp #foryou #kitchenmail #fanmail @young_partyof4,1600895663,59,6.72E+18,mrhamilton,Casey Hamilton,6.75E+18,Monkeys Spinning Monkeys,Kevin MacLeod,50300,50,210,233800
6.88E+18,Reply to @omar6188 @smallham do you remember when you did this #fyp #foryou #foryoupage #xyzbca #happybirthday,1600894977,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,20800,62,182,141000
6.88E+18,Reply to @eileen.cats3 RIP VINE for life #excema #ripexcema #fyp #foryoupage #foryou #comedy  #ripvine #fyp,1600894734,6,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,23600,404,163,218200
6.88E+18,Reply to @monkeymanfrom1998 ask and ye shall receive #fyp #foryoupage #foryou #impression #vine #ripvine,1600894669,4,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,21400,153,137,197400
6.88E+18,big steak @smallham,1600894325,12,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,8570,6,89,94300
6.88E+18,you can’t read others if you can’t read yourself #fyp #foryou #foryoupage #panera #panerabread #broccolicheddarsoup #xyzbca #comedy,1600893437,12,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,11300,63,240,99700
6.88E+18,Reply to @kamauri0422 BACK UP TERRY,1600886890,9,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,101800,1858,490,780000
6.88E+18,,1600886506,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,25000,93,137,153000
6.88E+18,Vinny baybeeeee let’s have a party togeva,1600886364,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,14100,18,238,104700
6.88E+18,,1600875851,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,16400,52,208,115300
6.88E+18,#duet with @ohbukster issa vibe #fyp #foryou #foryoupage #puttinontheritz #xyzbca #PetThings #dance,1600874502,15,6.72E+18,mrhamilton,Casey Hamilton,6.77E+18,puttin on the mf ritz,the biggest of toots,35400,33,139,250300
6.88E+18,Need some sick jewelry? Want to accessorize? Check out @kcchicteam for more! #fyp #foryou #foryoupage #xyzbca #jewelry #loveit #ad #PetThings,1600874404,59,6.72E+18,mrhamilton,Casey Hamilton,6.69E+18,Call me,90sFlav,8116,44,115,64600
6.88E+18,ya’ll always make me feel so special for some reason. thank you for the kitchen mail. i love ya’ll ❤️ #kitchenmail #fanmail #mail #fyp #foryou,1600873132,59,6.72E+18,mrhamilton,Casey Hamilton,6.78E+18,Married Life (Up),Bethany Nickerson & Various Artists,50800,82,461,227900
6.88E+18,"I got my own lil’ Luxo Jr., an egg, and some ‘mingo gear 🥺 thank you all for the Kitchen Mail! #fyp #foryou #foryoupage #xyzbca #fanmail #kitchenmail",1600872999,59,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,36800,36,194,212800
6.88E+18,they hang on every fry #fyp #foryou #foryoupage #xyzbca #PetThings #frenchfries #funny #comedy #dumb #kids,1600870466,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,45400,100,710,223000
6.88E+18,Reply to @stephaniesheckell I am become Bobby Hill #fyp #foryou #foryoupage #xyzbca #HelloFall #ClosetTour #bobbyhill #kingofthehill #dumb #animeface,1600824534,7,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,35700,829,450,240600
6.88E+18,BIG shoutout to @outback_official for the dinner and swag! These bloomin’ onion stickers are TO DIE FOR 🥺 #outbackmail #outback #fyp #foryou #xyzbca,1600821137,59,6.72E+18,mrhamilton,Casey Hamilton,6.82E+18,animal crossing ~ new horizons lofi,Closed on Sunday,68000,123,431,328700
6.88E+18,inspired by @mr.brun0 who was inspired by @nashvillecash who was inspired by @jackblack,1600813945,7,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,8752,23,131,102300
6.88E+18,eat your greens and beans #fyp #foryou #foryoupage #xyzbca,1600813717,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,12400,87,175,101200
6.88E+18,Reply to @sethshaffer,1600801808,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,68300,84,629,377700
6.88E+18,,1600801692,14,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,13700,135,211,103900
6.88E+18,why don’t it make me look purty #fyp #foryou #foryoupage #animefilter #xyzbca #anime #HelloFall #ClosetTour,1600795409,28,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,243500,10300,3228,1200000
6.88E+18,Reply to @brandidoernemann6 of COURSE i’ve seen School House Rock 🥰 #fyp #justabill #foryou #singing #foryoupage #xyzbca #HelloFall #ClosetTour,1600794610,28,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,46100,808,870,260100
6.88E+18,BIG shoutout to @kc_chic for the beautiful and badass jewelry! 🥺 I’m HIGHLY impressed. #fyp #foryou #foryoupage #rattlesnakebracelet #jewelry,1600794252,59,6.72E+18,mrhamilton,Casey Hamilton,6.82E+18,animal crossing ~ new horizons lofi,Closed on Sunday,72400,63,254,356800
6.88E+18,#truthordare,1600786957,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,250500,1792,1223,1100000
6.88E+18,you all enrich my life in so many positive ways. i love you all so mush 🥰 thank you for the #kitchenmail #fanmail #mail #foryou #fyp #xyzbca,1600752479,58,6.72E+18,mrhamilton,Casey Hamilton,6.69E+18,Call me,90sFlav,156800,116,536,719600
6.88E+18,"she just a lil’ squeaky is all, don’t mind her 🥰 #fyp #foryou #foryoupage #xyzbca",1600750370,13,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,27400,128,393,188200
6.88E+18,she didn’t win she CHEATED 😡 #fyp #foryou #foryoupage #xyzbca,1600745166,15,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,61100,29,138,336000
6.88E+18,Reply to @eatitkatie do you love me now #fyp #foryou #lettuce #eatyourlettuce #foryoupage #comedy #funny #food #dumb #ranch #yes #eatitkatie,1600727494,36,6.72E+18,mrhamilton,Casey Hamilton,6.88E+18,original sound,Casey Hamilton,78700,339,1152,448500
6.88E+18,BIG shoutout to @thirstyturtletumblers for this beautiful design 🥺 you nailed it #fyp #kitchenmail #fanmail #mail #thankyou #foryoupage #xyzbca,1600723797,59,6.72E+18,mrhamilton,Casey Hamilton,6.74E+18,Wii - Mii Channel,Super Guitar Bros,67000,66,273,308600
